sentence,entity1,entity2,label
Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,fish twisting,complex non-rigid motions,HYPONYM-OF
Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,self-occlusion,fish twisting,FEATURE-OF
Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,self-occlusion,inter-frame lip motion,CONJUNCTION
Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,inter-frame lip motion,fish twisting,FEATURE-OF
The proposed method also has the potential to solve other type of tracking problems .,method,tracking problems,USED-FOR
"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",digital signal processor -LRB- DSP -RRB- implementation,real-time statistical voice conversion -LRB- VC -RRB-,USED-FOR
"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",real-time statistical voice conversion -LRB- VC -RRB-,silent speech enhancement,USED-FOR
"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",real-time statistical voice conversion -LRB- VC -RRB-,electrolaryngeal speech enhancement,USED-FOR
"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",silent speech enhancement,electrolaryngeal speech enhancement,CONJUNCTION
Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .,Electrolaryngeal speech,alaryngeal speech,HYPONYM-OF
Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .,speaking method,alaryngeal speech,USED-FOR
Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .,speaking method,laryngectomees,USED-FOR
"However , the sound quality of NAM and electrolaryngeal speech suffers from lack of naturalness .",sound quality,NAM and electrolaryngeal speech,EVALUATE-FOR
"VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources .",devices,it,USED-FOR
"VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources .",sufficient computational resources,devices,FEATURE-OF
An implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use .,limited computational resources,devices,FEATURE-OF
In this paper we further implement real-time VC on a DSP .,DSP,real-time VC,USED-FOR
"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",real-time VC,speech enhancement systems,USED-FOR
"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",one,speech enhancement systems,HYPONYM-OF
"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",one,other,CONJUNCTION
"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",other,speech enhancement systems,HYPONYM-OF
"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",computational cost,methods,EVALUATE-FOR
"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",computational cost,conversion accuracy,CONJUNCTION
"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",conversion accuracy,methods,EVALUATE-FOR
We conduct experimental evaluations and show that real-time VC is capable of running on a DSP with little degradation .,DSP,real-time VC,USED-FOR
We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,method,paraphrase,USED-FOR
We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,paraphrase,machine translation evaluation measures,USED-FOR
We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,BLEU,machine translation evaluation measures,HYPONYM-OF
We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,BLEU,NIST,CONJUNCTION
We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,NIST,machine translation evaluation measures,HYPONYM-OF
"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",equivalence in meaning,grammaticality,CONJUNCTION
"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",meaning equivalence,paraphrases,USED-FOR
"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",meaning equivalence,entailment,CONJUNCTION
"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",entailment,paraphrases,USED-FOR
"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",internal lexical and syntactical variation,equivalence in meaning,CONJUNCTION
"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",paraphrases,hand-produced sets,COMPARE
The paraphrase sets produced by this method thus seem adequate as reference sets to be used for MT evaluation .,method,paraphrase,USED-FOR
Graph unification remains the most expensive part of unification-based grammar parsing .,Graph unification,unification-based grammar parsing,PART-OF
We focus on one speed-up element in the design of unification algorithms : avoidance of copying of unmodified subgraphs .,speed-up element,unification algorithms,PART-OF
We propose a method of attaining such a design through a method of structure-sharing which avoids log -LRB- d -RRB- overheads often associated with structure-sharing of graphs without any use of costly dependency pointers .,structure-sharing,method,USED-FOR
The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,scheme,cyclic structures,USED-FOR
The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,quasi-destructive scheme 's ability,scheme,FEATURE-OF
The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,over copying,early copying,CONJUNCTION
We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .,system,subcategorization dictionary,USED-FOR
We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .,textual corpora,system,USED-FOR
We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount,system,subcategorization dictionary,USED-FOR
We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount,accuracy,parser,EVALUATE-FOR
We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount,parser,subcategorization dictionary,EVALUATE-FOR
"A number of powerful registration criteria have been developed in the last decade , most prominently the criterion of maximum mutual information .",maximum mutual information,registration criteria,HYPONYM-OF
"Although this criterion provides for good registration results in many applications , it remains a purely low-level criterion .",low-level criterion,it,FEATURE-OF
"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods .",Bayesian framework,image registration methods,USED-FOR
"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods .",statistically learned prior knowledge,image registration methods,USED-FOR
"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods .",joint intensity distribution,statistically learned prior knowledge,FEATURE-OF
The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .,kernel density estimate,prior,USED-FOR
The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .,kernel density estimate,joint intensity distributions,USED-FOR
The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .,pre-registered image pairs,joint intensity distributions,USED-FOR
Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .,registration process,missing low-level information,USED-FOR
Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .,it,intensity correspondences,USED-FOR
"We present a method for synthesizing complex , photo-realistic facade images , from a single example .",method,"synthesizing complex , photo-realistic facade images",USED-FOR
"After parsing the example image into its semantic components , a tiling for it is generated .",tiling,semantic components,USED-FOR
"Novel tilings can then be created , yielding facade textures with different dimensions or with occluded parts inpainted .",occluded parts inpainted,facade textures,FEATURE-OF
"A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures .",genetic algorithm,facades,USED-FOR
"A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures .",genetic algorithm,inpainted parts,USED-FOR
Promising results for multiple standard datasets -- in particular for the different building styles they contain -- demonstrate the potential of the method .,multiple standard datasets,method,EVALUATE-FOR
We introduce a new interactive corpus exploration tool called InfoMagnets .,InfoMagnets,interactive corpus exploration tool,HYPONYM-OF
InfoMagnets aims at making exploratory corpus analysis accessible to researchers who are not experts in text mining .,InfoMagnets,exploratory corpus analysis,USED-FOR
"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",it,domains,USED-FOR
"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",tutorial dialogue,domains,HYPONYM-OF
"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",tutorial dialogue,on-line communities,CONJUNCTION
"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",on-line communities,domains,HYPONYM-OF
"As an educational tool , it has been used as part of a unit on protocol analysis in an Educational Research Methods course .",educational tool,protocol analysis,USED-FOR
Sources of training data suitable for language modeling of conversational speech are limited .,conversational speech,language modeling,USED-FOR
"In this paper , we show how training data can be supplemented with text from the web filtered to match the style and/or topic of the target recognition task , but also that it is possible to get bigger performance gains from the data by using class-dependent interpolation of N-grams .",class-dependent interpolation of N-grams,recognition task,USED-FOR
We present a method for detecting 3D objects using multi-modalities .,method,detecting 3D objects,USED-FOR
We present a method for detecting 3D objects using multi-modalities .,multi-modalities,method,USED-FOR
"While it is generic , we demonstrate it on the combination of an image and a dense depth map which give complementary object information .",it,it,USED-FOR
"While it is generic , we demonstrate it on the combination of an image and a dense depth map which give complementary object information .",image,it,USED-FOR
"While it is generic , we demonstrate it on the combination of an image and a dense depth map which give complementary object information .",image,dense depth map,CONJUNCTION
"While it is generic , we demonstrate it on the combination of an image and a dense depth map which give complementary object information .",dense depth map,it,USED-FOR
"While it is generic , we demonstrate it on the combination of an image and a dense depth map which give complementary object information .",complementary object information,dense depth map,FEATURE-OF
"It is based on an efficient representation of templates that capture the different modalities , and we show in many experiments on commodity hardware that our approach significantly outperforms state-of-the-art methods on single modalities .",templates,modalities,USED-FOR
"It is based on an efficient representation of templates that capture the different modalities , and we show in many experiments on commodity hardware that our approach significantly outperforms state-of-the-art methods on single modalities .",approach,state-of-the-art methods,COMPARE
"It is based on an efficient representation of templates that capture the different modalities , and we show in many experiments on commodity hardware that our approach significantly outperforms state-of-the-art methods on single modalities .",approach,single modalities,USED-FOR
"It is based on an efficient representation of templates that capture the different modalities , and we show in many experiments on commodity hardware that our approach significantly outperforms state-of-the-art methods on single modalities .",state-of-the-art methods,single modalities,USED-FOR
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",compact description of a video sequence,domains,USED-FOR
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",image map,compact description of a video sequence,USED-FOR
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",image map,dominant motion,CONJUNCTION
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",dominant motion,compact description of a video sequence,USED-FOR
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",video browsing and retrieval,domains,HYPONYM-OF
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",video browsing and retrieval,compression,CONJUNCTION
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",compression,domains,HYPONYM-OF
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",compression,mosaicing,CONJUNCTION
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",mosaicing,domains,HYPONYM-OF
"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization .",mosaicing,visual summarization,CONJUNCTION
"Building such a representation requires the capability to register all the frames with respect to the dominant object in the scene , a task which has been , in the past , addressed through temporally localized motion estimates .",localized motion estimates,task,USED-FOR
"To avoid this oscillation , we augment the motion model with a generic temporal constraint which increases the robustness against competing interpretations , leading to more meaningful content summarization .",generic temporal constraint,motion model,USED-FOR
"To avoid this oscillation , we augment the motion model with a generic temporal constraint which increases the robustness against competing interpretations , leading to more meaningful content summarization .",generic temporal constraint,content summarization,USED-FOR
"To avoid this oscillation , we augment the motion model with a generic temporal constraint which increases the robustness against competing interpretations , leading to more meaningful content summarization .",robustness,generic temporal constraint,EVALUATE-FOR
"In cross-domain learning , there is a more challenging problem that the domain divergence involves more than one dominant factors , e.g. , different viewpoints , various resolutions and changing illuminations .",dominant factors,domain divergence,PART-OF
"In cross-domain learning , there is a more challenging problem that the domain divergence involves more than one dominant factors , e.g. , different viewpoints , various resolutions and changing illuminations .",viewpoints,dominant factors,HYPONYM-OF
"In cross-domain learning , there is a more challenging problem that the domain divergence involves more than one dominant factors , e.g. , different viewpoints , various resolutions and changing illuminations .",viewpoints,resolutions,CONJUNCTION
"In cross-domain learning , there is a more challenging problem that the domain divergence involves more than one dominant factors , e.g. , different viewpoints , various resolutions and changing illuminations .",resolutions,dominant factors,HYPONYM-OF
"In cross-domain learning , there is a more challenging problem that the domain divergence involves more than one dominant factors , e.g. , different viewpoints , various resolutions and changing illuminations .",resolutions,illuminations,CONJUNCTION
"Fortunately , an intermediate domain could often be found to build a bridge across them to facilitate the learning problem .",intermediate domain,learning problem,USED-FOR
"In this paper , we propose a Coupled Marginalized Denoising Auto-encoders framework to address the cross-domain problem .",Coupled Marginalized Denoising Auto-encoders framework,cross-domain problem,USED-FOR
"Specifically , we design two marginalized denoising auto-encoders , one for the target and the other for source as well as the intermediate one .",one,marginalized denoising auto-encoders,HYPONYM-OF
"Specifically , we design two marginalized denoising auto-encoders , one for the target and the other for source as well as the intermediate one .",one,other,CONJUNCTION
"Specifically , we design two marginalized denoising auto-encoders , one for the target and the other for source as well as the intermediate one .",other,marginalized denoising auto-encoders,HYPONYM-OF
"To better couple the two denoising auto-encoders learning , we incorporate a feature mapping , which tends to transfer knowledge between the intermediate domain and the target one .",feature mapping,denoising auto-encoders learning,PART-OF
"To better couple the two denoising auto-encoders learning , we incorporate a feature mapping , which tends to transfer knowledge between the intermediate domain and the target one .",feature mapping,intermediate domain,USED-FOR
"Furthermore , the maximum margin criterion , e.g. , intra-class com-pactness and inter-class penalty , on the output layer is imposed to seek more discriminative features across different domains .",intra-class com-pactness,maximum margin criterion,HYPONYM-OF
"Furthermore , the maximum margin criterion , e.g. , intra-class com-pactness and inter-class penalty , on the output layer is imposed to seek more discriminative features across different domains .",intra-class com-pactness,inter-class penalty,CONJUNCTION
"Furthermore , the maximum margin criterion , e.g. , intra-class com-pactness and inter-class penalty , on the output layer is imposed to seek more discriminative features across different domains .",inter-class penalty,maximum margin criterion,HYPONYM-OF
Extensive experiments on two tasks have demonstrated the superiority of our method over the state-of-the-art methods .,tasks,method,EVALUATE-FOR
Extensive experiments on two tasks have demonstrated the superiority of our method over the state-of-the-art methods .,method,state-of-the-art methods,COMPARE
"Basically , a set of age-group specific dictionaries are learned , where the dictionary bases corresponding to the same index yet from different dictionaries form a particular aging process pattern cross different age groups , and a linear combination of these patterns expresses a particular personalized aging process .",dictionary bases,age-group specific dictionaries,PART-OF
"Basically , a set of age-group specific dictionaries are learned , where the dictionary bases corresponding to the same index yet from different dictionaries form a particular aging process pattern cross different age groups , and a linear combination of these patterns expresses a particular personalized aging process .",linear combination,personalized aging process,USED-FOR
"Basically , a set of age-group specific dictionaries are learned , where the dictionary bases corresponding to the same index yet from different dictionaries form a particular aging process pattern cross different age groups , and a linear combination of these patterns expresses a particular personalized aging process .",patterns,linear combination,USED-FOR
"First , beyond the aging dictionaries , each subject may have extra personalized facial characteristics , e.g. mole , which are invariant in the aging process .",mole,personalized facial characteristics,HYPONYM-OF
Thus a personality-aware coupled reconstruction loss is utilized to learn the dictionaries based on face pairs from neighboring age groups .,personality-aware coupled reconstruction loss,dictionaries,USED-FOR
"Extensive experiments well demonstrate the advantages of our proposed solution over other state-of-the-arts in term of personalized aging progression , as well as the performance gain for cross-age face verification by synthesizing aging faces .",solution,state-of-the-arts,COMPARE
"Extensive experiments well demonstrate the advantages of our proposed solution over other state-of-the-arts in term of personalized aging progression , as well as the performance gain for cross-age face verification by synthesizing aging faces .",solution,personalized aging progression,USED-FOR
"Extensive experiments well demonstrate the advantages of our proposed solution over other state-of-the-arts in term of personalized aging progression , as well as the performance gain for cross-age face verification by synthesizing aging faces .",state-of-the-arts,personalized aging progression,USED-FOR
"Extensive experiments well demonstrate the advantages of our proposed solution over other state-of-the-arts in term of personalized aging progression , as well as the performance gain for cross-age face verification by synthesizing aging faces .",synthesizing aging faces,cross-age face verification,USED-FOR
We propose a draft scheme of the model formalizing the structure of communicative context in dialogue interaction .,model,structure of communicative context,USED-FOR
We propose a draft scheme of the model formalizing the structure of communicative context in dialogue interaction .,dialogue interaction,structure of communicative context,FEATURE-OF
"Visitors who browse the web from wireless PDAs , cell phones , and pagers are frequently stymied by web interfaces optimized for desktop PCs .",web interfaces,desktop PCs,USED-FOR
"In this paper we develop an algorithm , MINPATH , that automatically improves wireless web navigation by suggesting useful shortcut links in real time .",algorithm,wireless web navigation,USED-FOR
"In this paper we develop an algorithm , MINPATH , that automatically improves wireless web navigation by suggesting useful shortcut links in real time .",algorithm,wireless web navigation,USED-FOR
"MINPATH finds shortcuts by using a learned model of web visitor behavior to estimate the savings of shortcut links , and suggests only the few best links .",model,MINPATH,USED-FOR
"MINPATH finds shortcuts by using a learned model of web visitor behavior to estimate the savings of shortcut links , and suggests only the few best links .",model,web visitor behavior,USED-FOR
"MINPATH finds shortcuts by using a learned model of web visitor behavior to estimate the savings of shortcut links , and suggests only the few best links .",model,savings of shortcut links,USED-FOR
"We explore a variety of predictive models , including Na ¨ ıve Bayes mixture models and mixtures of Markov models , and report empirical evidence that MINPATH finds useful shortcuts that save substantial navigational effort .",Na ¨ ıve Bayes mixture models,predictive models,HYPONYM-OF
"We explore a variety of predictive models , including Na ¨ ıve Bayes mixture models and mixtures of Markov models , and report empirical evidence that MINPATH finds useful shortcuts that save substantial navigational effort .",Na ¨ ıve Bayes mixture models,mixtures of Markov models,CONJUNCTION
"We explore a variety of predictive models , including Na ¨ ıve Bayes mixture models and mixtures of Markov models , and report empirical evidence that MINPATH finds useful shortcuts that save substantial navigational effort .",mixtures of Markov models,predictive models,HYPONYM-OF
This paper describes a particular approach to parsing that utilizes recent advances in unification-based parsing and in classification-based knowledge representation .,approach,parsing,USED-FOR
This paper describes a particular approach to parsing that utilizes recent advances in unification-based parsing and in classification-based knowledge representation .,unification-based parsing,approach,USED-FOR
This paper describes a particular approach to parsing that utilizes recent advances in unification-based parsing and in classification-based knowledge representation .,classification-based knowledge representation,approach,USED-FOR
This paper describes a particular approach to parsing that utilizes recent advances in unification-based parsing and in classification-based knowledge representation .,classification-based knowledge representation,unification-based parsing,CONJUNCTION
"As unification-based grammatical frameworks are extended to handle richer descriptions of linguistic information , they begin to share many of the properties that have been developed in KL-ONE-like knowledge representation systems .",unification-based grammatical frameworks,linguistic information,USED-FOR
"As unification-based grammatical frameworks are extended to handle richer descriptions of linguistic information , they begin to share many of the properties that have been developed in KL-ONE-like knowledge representation systems .",KL-ONE-like knowledge representation systems,they,USED-FOR
This commonality suggests that some of the classification-based representation techniques can be applied to unification-based linguistic descriptions .,classification-based representation techniques,unification-based linguistic descriptions,USED-FOR
"This merging supports the integration of semantic and syntactic information into the same system , simultaneously subject to the same types of processes , in an efficient manner .",semantic and syntactic information,system,USED-FOR
"The use of a KL-ONE style representation for parsing and semantic interpretation was first explored in the PSI-KLONE system -LSB- 2 -RSB- , in which parsing is characterized as an inference process called incremental description refinement .",KL-ONE style representation,parsing,USED-FOR
"The use of a KL-ONE style representation for parsing and semantic interpretation was first explored in the PSI-KLONE system -LSB- 2 -RSB- , in which parsing is characterized as an inference process called incremental description refinement .",KL-ONE style representation,semantic interpretation,USED-FOR
"The use of a KL-ONE style representation for parsing and semantic interpretation was first explored in the PSI-KLONE system -LSB- 2 -RSB- , in which parsing is characterized as an inference process called incremental description refinement .",parsing,semantic interpretation,CONJUNCTION
"The use of a KL-ONE style representation for parsing and semantic interpretation was first explored in the PSI-KLONE system -LSB- 2 -RSB- , in which parsing is characterized as an inference process called incremental description refinement .",PSI-KLONE system,KL-ONE style representation,USED-FOR
"The use of a KL-ONE style representation for parsing and semantic interpretation was first explored in the PSI-KLONE system -LSB- 2 -RSB- , in which parsing is characterized as an inference process called incremental description refinement .",incremental description refinement,parsing,USED-FOR
"The use of a KL-ONE style representation for parsing and semantic interpretation was first explored in the PSI-KLONE system -LSB- 2 -RSB- , in which parsing is characterized as an inference process called incremental description refinement .",incremental description refinement,inference process,HYPONYM-OF
"In this paper we discuss a proposed user knowledge modeling architecture for the ICICLE system , a language tutoring application for deaf learners of written English .",user knowledge modeling architecture,ICICLE system,USED-FOR
"In this paper we discuss a proposed user knowledge modeling architecture for the ICICLE system , a language tutoring application for deaf learners of written English .",ICICLE system,language tutoring application,HYPONYM-OF
"In this paper we discuss a proposed user knowledge modeling architecture for the ICICLE system , a language tutoring application for deaf learners of written English .",language tutoring application,deaf learners,USED-FOR
"In this paper we discuss a proposed user knowledge modeling architecture for the ICICLE system , a language tutoring application for deaf learners of written English .",written English,language tutoring application,USED-FOR
The model will represent the language proficiency of the user and is designed to be referenced during both writing analysis and feedback production .,model,writing analysis,USED-FOR
The model will represent the language proficiency of the user and is designed to be referenced during both writing analysis and feedback production .,model,feedback production,USED-FOR
The model will represent the language proficiency of the user and is designed to be referenced during both writing analysis and feedback production .,writing analysis,feedback production,CONJUNCTION
"We motivate our model design by citing relevant research on second language and cognitive skill acquisition , and briefly discuss preliminary empirical evidence supporting the design .",second language and cognitive skill acquisition,model design,USED-FOR
We conclude by showing how our design can provide a rich and robust information base to a language assessment / correction application by modeling user proficiency at a high level of granularity and specificity .,design,language assessment / correction application,USED-FOR
