entity1,entity2,relation_type
maximum mutual information,registration criteria,HYPONYM-OF
low-level criterion,it,FEATURE-OF
Bayesian framework,image registration methods,USED-FOR
statistically learned prior knowledge,image registration methods,USED-FOR
joint intensity distribution,statistically learned prior knowledge,FEATURE-OF
kernel density estimate,prior,USED-FOR
kernel density estimate,joint intensity distributions,USED-FOR
pre-registered image pairs,joint intensity distributions,USED-FOR
registration process,missing low-level information,USED-FOR
it,intensity correspondences,USED-FOR
method,"synthesizing complex , photo-realistic facade images",USED-FOR
tiling,semantic components,USED-FOR
occluded parts inpainted,facade textures,FEATURE-OF
genetic algorithm,facades,USED-FOR
genetic algorithm,inpainted parts,USED-FOR
multiple standard datasets,method,EVALUATE-FOR
InfoMagnets,interactive corpus exploration tool,HYPONYM-OF
InfoMagnets,exploratory corpus analysis,USED-FOR
it,domains,USED-FOR
tutorial dialogue,domains,HYPONYM-OF
tutorial dialogue,on-line communities,CONJUNCTION
on-line communities,domains,HYPONYM-OF
educational tool,protocol analysis,USED-FOR
conversational speech,language modeling,USED-FOR
class-dependent interpolation of N-grams,recognition task,USED-FOR
method,detecting 3D objects,USED-FOR
multi-modalities,method,USED-FOR
it,it,USED-FOR
image,it,USED-FOR
image,dense depth map,CONJUNCTION
dense depth map,it,USED-FOR
complementary object information,dense depth map,FEATURE-OF
templates,modalities,USED-FOR
approach,state-of-the-art methods,COMPARE
approach,single modalities,USED-FOR
state-of-the-art methods,single modalities,USED-FOR
compact description of a video sequence,domains,USED-FOR
image map,compact description of a video sequence,USED-FOR
image map,dominant motion,CONJUNCTION
dominant motion,compact description of a video sequence,USED-FOR
video browsing and retrieval,domains,HYPONYM-OF
video browsing and retrieval,compression,CONJUNCTION
compression,domains,HYPONYM-OF
compression,mosaicing,CONJUNCTION
mosaicing,domains,HYPONYM-OF
mosaicing,visual summarization,CONJUNCTION
localized motion estimates,task,USED-FOR
generic temporal constraint,motion model,USED-FOR
generic temporal constraint,content summarization,USED-FOR
robustness,generic temporal constraint,EVALUATE-FOR
dominant factors,domain divergence,PART-OF
viewpoints,dominant factors,HYPONYM-OF
viewpoints,resolutions,CONJUNCTION
resolutions,dominant factors,HYPONYM-OF
resolutions,illuminations,CONJUNCTION
intermediate domain,learning problem,USED-FOR
Coupled Marginalized Denoising Auto-encoders framework,cross-domain problem,USED-FOR
one,marginalized denoising auto-encoders,HYPONYM-OF
one,other,CONJUNCTION
other,marginalized denoising auto-encoders,HYPONYM-OF
feature mapping,denoising auto-encoders learning,PART-OF
feature mapping,intermediate domain,USED-FOR
intra-class com-pactness,maximum margin criterion,HYPONYM-OF
intra-class com-pactness,inter-class penalty,CONJUNCTION
inter-class penalty,maximum margin criterion,HYPONYM-OF
tasks,method,EVALUATE-FOR
method,state-of-the-art methods,COMPARE
dictionary bases,age-group specific dictionaries,PART-OF
linear combination,personalized aging process,USED-FOR
patterns,linear combination,USED-FOR
mole,personalized facial characteristics,HYPONYM-OF
personality-aware coupled reconstruction loss,dictionaries,USED-FOR
solution,state-of-the-arts,COMPARE
solution,personalized aging progression,USED-FOR
state-of-the-arts,personalized aging progression,USED-FOR
synthesizing aging faces,cross-age face verification,USED-FOR
model,structure of communicative context,USED-FOR
dialogue interaction,structure of communicative context,FEATURE-OF
web interfaces,desktop PCs,USED-FOR
algorithm,wireless web navigation,USED-FOR
algorithm,wireless web navigation,USED-FOR
model,MINPATH,USED-FOR
model,web visitor behavior,USED-FOR
model,savings of shortcut links,USED-FOR
Na ¨ ıve Bayes mixture models,predictive models,HYPONYM-OF
Na ¨ ıve Bayes mixture models,mixtures of Markov models,CONJUNCTION
mixtures of Markov models,predictive models,HYPONYM-OF
approach,parsing,USED-FOR
unification-based parsing,approach,USED-FOR
classification-based knowledge representation,approach,USED-FOR
classification-based knowledge representation,unification-based parsing,CONJUNCTION
unification-based grammatical frameworks,linguistic information,USED-FOR
KL-ONE-like knowledge representation systems,they,USED-FOR
classification-based representation techniques,unification-based linguistic descriptions,USED-FOR
semantic and syntactic information,system,USED-FOR
KL-ONE style representation,parsing,USED-FOR
KL-ONE style representation,semantic interpretation,USED-FOR
parsing,semantic interpretation,CONJUNCTION
PSI-KLONE system,KL-ONE style representation,USED-FOR
incremental description refinement,parsing,USED-FOR
incremental description refinement,inference process,HYPONYM-OF
user knowledge modeling architecture,ICICLE system,USED-FOR
ICICLE system,language tutoring application,HYPONYM-OF
language tutoring application,deaf learners,USED-FOR
written English,language tutoring application,USED-FOR
model,writing analysis,USED-FOR
model,feedback production,USED-FOR
writing analysis,feedback production,CONJUNCTION
second language and cognitive skill acquisition,model design,USED-FOR
design,language assessment / correction application,USED-FOR
design,user proficiency,USED-FOR
granularity,user proficiency,EVALUATE-FOR
granularity,specificity,CONJUNCTION
specificity,user proficiency,EVALUATE-FOR
Constraint propagation,constraint programming,PART-OF
Simple Tabular Reduction algorithm STR2 +,SHORTSTR2,USED-FOR
SHORTSTR2,SHORTGAC,COMPARE
SHORTSTR2,HAGGISGAC,COMPARE
SHORTGAC,HAGGISGAC,CONJUNCTION
short support set,full-length support set,COMPARE
SHORTSTR2,short supports,USED-FOR
SHORTSTR2,drop-in replacement,USED-FOR
algorithm,SHORTSTR2,CONJUNCTION
algorithm,short supports,USED-FOR
full-length supports,SHORTSTR2,USED-FOR
full-length supports,SHORTSTR2,USED-FOR
full-length supports,algorithm,USED-FOR
full-length supports,algorithm,USED-FOR
drop-in replacement,STR2 +,USED-FOR
detection method,orthographic variants,USED-FOR
similarities,method,USED-FOR
edit distance,string similarity,USED-FOR
vector space model,contextual similarity,USED-FOR
F-measure,method,EVALUATE-FOR
Uncertainty handling,shape tracking,USED-FOR
fusion of measurement information with system dynamics and shape priors,tracking,USED-FOR
tracking,noisy images,USED-FOR
ultrasound sequences,noisy images,HYPONYM-OF
user initialization,approach,USED-FOR
user initialization,tracking process,USED-FOR
boosted shape detection,automatic initial-ization problem,USED-FOR
generic measurement process,boosted shape detection,USED-FOR
it,tracking framework,PART-OF
maximum likelihood,posterior shape model,USED-FOR
framework,automatic tracking of endocardium,USED-FOR
endocardium,ultrasound sequences of the human heart,PART-OF
detection,tracking,CONJUNCTION
approaches,inter-expert variations,CONJUNCTION
syntax-based constraint,word alignment,USED-FOR
cohesion constraint,syntax-based constraint,HYPONYM-OF
English phrases,It,USED-FOR
algorithms,constraint,EVALUATE-FOR
alignment quality,it,EVALUATE-FOR
Centering Theory,entity-based representation of discourse,USED-FOR
raw text,entity-based representation of discourse,USED-FOR
ranking learning problem,coherence assessment,USED-FOR
discourse representation,ranking function,USED-FOR
induced model,coherence model,COMPARE
accuracy,induced model,EVALUATE-FOR
accuracy,coherence model,EVALUATE-FOR
robust interactive method,speech understanding,USED-FOR
approach,generalized LR parsing,USED-FOR
non-terminal symbol,parser,USED-FOR
method,unknown words,USED-FOR
medium-length speeches,EUROPARL corpus,PART-OF
accuracy,classification method,EVALUATE-FOR
automatic phonetic transcriptions -LRB- APTs -RRB-,manually verified phonetic transcriptions,COMPARE
automatic phonetic transcriptions -LRB- APTs -RRB-,pronunciation variation,USED-FOR
manually verified phonetic transcriptions,pronunciation variation,USED-FOR
speech processes,classifiers,USED-FOR
alignments,speech processes,USED-FOR
alignments,APT,USED-FOR
alignments,MPT,USED-FOR
APT,MPT,CONJUNCTION
canonical transcription,alignments,USED-FOR
classifiers,unknown transcriptions,USED-FOR
unknown transcriptions,read speech,USED-FOR
unknown transcriptions,telephone dialogues,USED-FOR
read speech,telephone dialogues,CONJUNCTION
APT-based classifier,MPT-based classifier,COMPARE
classification accuracy,APT-based classifier,EVALUATE-FOR
classification accuracy,MPT-based classifier,EVALUATE-FOR
classification features,APT-based classifier,USED-FOR
classification features,MPT-based classifier,USED-FOR
computer programs,flowing text,USED-FOR
computer programs,fact assertions,USED-FOR
fact assertions,narrative content,FEATURE-OF
natural language processing -LRB- NLP -RRB-,task,PART-OF
information extraction -LRB- IE -RRB-,task,PART-OF
cognitive architecture,machine reading system,FEATURE-OF
cognitive semantics,construction grammar,CONJUNCTION
prior NLP,IE research,CONJUNCTION
system,idiosyncratic texts,USED-FOR
family history domain,idiosyncratic texts,FEATURE-OF
methods,nonstationary chaos,USED-FOR
biological signals,examples,HYPONYM-OF
biological signals,ocean waves,CONJUNCTION
ocean waves,examples,HYPONYM-OF
ocean waves,traffic flow,CONJUNCTION
traffic flow,examples,HYPONYM-OF
formal analysis,alternative markers,USED-FOR
words,dialog,PART-OF
approximation of the formal analysis,search engine,PART-OF
operational semantics,search engine,PART-OF
operational semantics,natural language applications,PART-OF
log-linear and linear interpolation,interpolation methods,HYPONYM-OF
hard decisions,dynamic combiner,FEATURE-OF
neural network,method,USED-FOR
decision tree,method,USED-FOR
decision tree,neural network,CONJUNCTION
method,LMs,USED-FOR
confidence measures,method,USED-FOR
method,NLP structures,USED-FOR
reranking approaches,NLP structures,FEATURE-OF
hidden variables,conditional log-linear model,USED-FOR
word clusters,word senses,CONJUNCTION
discriminative training criterion,model,USED-FOR
dynamic programming,summations,USED-FOR
model,parse reranking,USED-FOR
model,base parser,COMPARE
F-measure,model,EVALUATE-FOR
base parser,Collins -LRB- 2000 -RRB- reranker,COMPARE
techniques,parsing,USED-FOR
techniques,NLP structures,USED-FOR
techniques,parse trees,USED-FOR
parse trees,NLP structures,CONJUNCTION
algorithm,learning the time-varying shape of a non-rigid 3D object,USED-FOR
Gaussian distribution,object shape,USED-FOR
algorithm,3D shape and motion,USED-FOR
algorithm,temporal smoothness in object shape,USED-FOR
it,missing data,USED-FOR
Automatic summarization,information extraction,CONJUNCTION
MUC,SUMMAC,CONJUNCTION
models,summary generation,USED-FOR
models,tasks,USED-FOR
tasks,SUMMAC-1,PART-OF
positive feature vectors,categorization task,USED-FOR
positive feature vectors,negative feature vectors,CONJUNCTION
positive feature vectors,"generic , indicative summaries",USED-FOR
negative feature vectors,categorization task,USED-FOR
negative feature vectors,"generic , indicative summaries",USED-FOR
text model,adhoc task,USED-FOR
text model,discourse segment,USED-FOR
text model,user-directed summaries,USED-FOR
NormF,adhoc tasks,EVALUATE-FOR
NormF,categorization task,EVALUATE-FOR
system,system,COMPARE
categorization task,system,EVALUATE-FOR
categorization task,system,EVALUATE-FOR
adhoc task,system,EVALUATE-FOR
adhoc task,categorization task,EVALUATE-FOR
rich spatial-temporal structures,action videos,FEATURE-OF
dictionary learning methods,data-driven attributes,USED-FOR
discriminative attributes,discriminative and compact attribute-based representation,USED-FOR
submodular optimization problem,attribute selection criteria,USED-FOR
Olympic Sports and UCF101 datasets,attribute-based representation,EVALUATE-FOR
attribute-based representation,action recognition algorithms,USED-FOR
action recognition algorithms,recognition approaches,COMPARE
analytical inverses,compositional syntax rules,USED-FOR
analytical inverses,Definite Clause Grammar techniques,USED-FOR
Definite Clause Grammar techniques,parser returning Montague analysis trees,USED-FOR
augmented Friedman - Warren algorithm,parser MDCC,USED-FOR
post referencing,augmented Friedman - Warren algorithm,FEATURE-OF
derivational history,intenslonal logic translator LILT,USED-FOR
reduced IL formulae,derivational history,FEATURE-OF
Montague 's PTQ,basic DCG mechanism,CONJUNCTION
computational efficiency,Stochastic attention-based models,EVALUATE-FOR
intractable posterior inference,stochastic gradient estimates,CONJUNCTION
Borrowing techniques,deep generative models,USED-FOR
method,stochastic attention networks,USED-FOR
stochastic attention networks,posterior inference,USED-FOR
training time,method,EVALUATE-FOR
training time,stochastic attention networks,FEATURE-OF
image classification,method,EVALUATE-FOR
image classification,caption generation,CONJUNCTION
caption generation,method,EVALUATE-FOR
exemplar-based framework,image completion,USED-FOR
exemplar-based framework,texture synthesis,USED-FOR
exemplar-based framework,image inpainting,USED-FOR
image completion,texture synthesis,CONJUNCTION
texture synthesis,image inpainting,CONJUNCTION
greedy techniques,tasks,COMPARE
discrete global optimization problem,tasks,FEATURE-OF
well defined objective function,discrete global optimization problem,FEATURE-OF
optimization scheme,problem,USED-FOR
Priority-BP,optimization scheme,HYPONYM-OF
extensions,optimization scheme,PART-OF
belief propagation -LRB- BP -RRB-,extensions,USED-FOR
priority-based message scheduling,extensions,HYPONYM-OF
priority-based message scheduling,dynamic label pruning,CONJUNCTION
dynamic label pruning,extensions,HYPONYM-OF
extensions,intolerable computational cost of BP,USED-FOR
extensions,MRF energy function,USED-FOR
image completion examples,method,USED-FOR
segment order,segmentation,CONJUNCTION
segment order,translation memory system,USED-FOR
segmentation,segment contiguity,CONJUNCTION
segmentation,translation memory system,USED-FOR
segment contiguity,translation memory system,USED-FOR
retrieval,translation memory system,EVALUATE-FOR
character - and word-segmented data,bag-of-words and segment order-sensitive string comparison methods,USED-FOR
local segment contiguity models,bag-of-words and segment order-sensitive string comparison methods,CONJUNCTION
N-grams,local segment contiguity models,FEATURE-OF
character bigrams,indexing,USED-FOR
character bigrams,word N-gram models,COMPARE
retrieval accuracy,character bigrams,EVALUATE-FOR
retrieval accuracy,word N-gram models,EVALUATE-FOR
bag-of-words methods,segment order-sensitive methods,COMPARE
retrieval accuracy,bag-of-words methods,EVALUATE-FOR
retrieval accuracy,segment order-sensitive methods,EVALUATE-FOR
outputs,text collections,USED-FOR
named entity annotations,outputs,HYPONYM-OF
named entity annotations,scenario templates,CONJUNCTION
scenario templates,outputs,HYPONYM-OF
text browser,text collections,USED-FOR
prototype system,pharmaceutical news archive,USED-FOR
qualitative user evaluation,system,EVALUATE-FOR
model-based bundle adjustment algorithm,3D model,USED-FOR
images,3D model,USED-FOR
unknown motions,images,PART-OF
surface,algorithm,USED-FOR
model-based approaches,approach,COMPARE
model space,regular-izer,USED-FOR
regular-izer,search space,COMPARE
it,search space,USED-FOR
face metrics,face modeling,USED-FOR
face metrics,face geometry,USED-FOR
face metrics,search space,USED-FOR
face metrics,posed system,USED-FOR
synthetic and real data,algorithm,EVALUATE-FOR
synthetic and real data,ones,EVALUATE-FOR
algorithm,ones,COMPARE
approach,unsupervised learning of parts of speech,USED-FOR
morphological and syntactic information,approach,USED-FOR
model,those,COMPARE
those,unsupervised learning of POS tags in English,USED-FOR
syntactic information,those,USED-FOR
morphology,word order,COMPARE
computational model,POS learning,USED-FOR
Bulgarian,it,USED-FOR
Bulgarian,Slavic language,HYPONYM-OF
free word order,Bulgarian,FEATURE-OF
free word order,rich morphology,CONJUNCTION
rich morphology,Bulgarian,FEATURE-OF
Chinese word segmenter,MT,USED-FOR
manually annotated data,Chinese word segmenter,USED-FOR
word segmentation,translation,USED-FOR
Bayesian semi-supervised Chinese word segmentation model,segmentation,USED-FOR
monolingual and bilingual information,Bayesian semi-supervised Chinese word segmentation model,USED-FOR
segmentation,MT,USED-FOR
method,MT system,COMPARE
approaches,part-of-speech tagging,USED-FOR
French,approaches,USED-FOR
constraint system,statistical model,COMPARE
accuracy,statistical method,EVALUATE-FOR
accuracy,taggers,EVALUATE-FOR
statistical method,taggers,COMPARE
taggers,English,USED-FOR
Structured-light methods,geometric correspondence data,USED-FOR
geometric correspondence data,robust 3D reconstruction,USED-FOR
structured light method,Photogeometric Structured Light,PART-OF
photometric methods,Photogeometric Structured Light,PART-OF
Photometric processing,recovered surface detail,USED-FOR
Photometric processing,structured-light setup,USED-FOR
photogeometric optimization,framework,USED-FOR
photometric and geometric data,multi-view 3D model,USED-FOR
adaptive learning procedure,syntactic ambiguity resolution,USED-FOR
insufficient training data,approximation error,CONJUNCTION
statistical approaches,ambiguities,USED-FOR
maximum likelihood method,statistical approaches,USED-FOR
accuracy rate,syntactic disambiguation,EVALUATE-FOR
syntactic disambiguation,approach,EVALUATE-FOR
approach,statistical sentence generation,USED-FOR
It,statistical ranking,USED-FOR
It,approach,COMPARE
approach,statistical generation,USED-FOR
ranking algorithm,enumeration,COMPARE
ranking algorithm,lattice-based approach,COMPARE
enumeration,lattice-based approach,CONJUNCTION
natural language -LRB- NL -RRB-,Structured Inheritance Network -LRB- SI-Nets -RRB- paradigm,USED-FOR
operations,SI-Nets,USED-FOR
operations,SI-Nets,USED-FOR
NL,conceptual system,USED-FOR
KL-ONE,KL-Conc,COMPARE
epistemological level,KL-ONE,FEATURE-OF
conceptual level,KL-Conc,FEATURE-OF
algorithm,calibrated camera relative pose estimation,USED-FOR
synthetic and real data,algorithm,USED-FOR
algorithm,hypothesize-and-test frameworks,CONJUNCTION
RANSAC,hypothesize-and-test frameworks,HYPONYM-OF
approach,urban and indoor environments,USED-FOR
fully automated extraction system,gene and protein interactions,USED-FOR
IntEx,fully automated extraction system,HYPONYM-OF
biomedical text,gene and protein interactions,USED-FOR
biomedical and linguistic ontologies,biological entities,USED-FOR
extraction system,multiple and nested interactions,USED-FOR
IntEx system,extraction systems,COMPARE
method,computational analysis of move structures,USED-FOR
abstracts of research articles,computational analysis of move structures,USED-FOR
Web,abstracts,USED-FOR
abstract moves,language model,USED-FOR
CARE,prototype concordancer,HYPONYM-OF
CARE,move-tagged abstracts,USED-FOR
move-tagged abstracts,digital learning,USED-FOR
system,approach,USED-FOR
approach,Web-based computer-assisted academic writing,USED-FOR
real-time system,multiple object tracking in dynamic scenes,USED-FOR
system,long-duration and complete occlusion,USED-FOR
prior knowledge,shape,FEATURE-OF
prior knowledge,motion of objects,FEATURE-OF
shape,motion of objects,CONJUNCTION
tracking,system,EVALUATE-FOR
method,organizing reading materials,USED-FOR
organizing reading materials,vocabulary learning,USED-FOR
English Wikipedia,free-content encyclopedia,HYPONYM-OF
bootstrapping approach,Named Entity -LRB- NE -RRB- tagging,USED-FOR
concept-based seeds,bootstrapping approach,USED-FOR
concept-based seeds,successive learners,CONJUNCTION
successive learners,bootstrapping approach,USED-FOR
PERSON NE,NE,HYPONYM-OF
successive learners,bootstrapping procedure,USED-FOR
decision list,parsing-based NE rules,USED-FOR
NE system,supervised NE,USED-FOR
word sense disambiguation,Chinese-to-English SMT model,EVALUATE-FOR
WSD evaluation methodology,Chinese-to-English SMT model,EVALUATE-FOR
Senseval-3 Chinese lexical sample task,Chinese-to-English SMT model,EVALUATE-FOR
Senseval series of workshops,dedicated word sense disambiguation -LRB- WSD -RRB- models,EVALUATE-FOR
BLEU scores,statistical machine translation -LRB- SMT -RRB-,EVALUATE-FOR
SMT models,translation,USED-FOR
WSD accuracy,SMT models,EVALUATE-FOR
that,WSD accuracy,COMPARE
WSD accuracy,SMT models,EVALUATE-FOR
that,WSD accuracy,COMPARE
SMT models,dedicated WSD models,COMPARE
WSD models,SMT,USED-FOR
predicate-argument structures,IE paradigm,USED-FOR
features,It,USED-FOR
features,inductive decision tree learning,CONJUNCTION
inductive decision tree learning,It,USED-FOR
predicate-argument structures,IE,USED-FOR
statistical profile,Named Entity task,USED-FOR
Named Entity task,information extraction task,HYPONYM-OF
statistical analysis,algorithm,USED-FOR
algorithm,lower bound estimation,USED-FOR
lower bound estimation,Named Entity corpora,USED-FOR
lyrics in music,under-explored language genre of spoken language,HYPONYM-OF
unsuper-vised induction,under-explored language genre of spoken language,USED-FOR
unsuper-vised induction,SMT-style stochastic transduction grammar,USED-FOR
unsuper-vised induction,fully-automatically learned challenge-response system,USED-FOR
hip hop lyrics,SMT-style stochastic transduction grammar,FEATURE-OF
fully-automatically learned challenge-response system,rhyming lyrics,USED-FOR
model,phrase-based SMT models,COMPARE
task,model,EVALUATE-FOR
task,phrase-based SMT models,EVALUATE-FOR
spoken multiparty dialogue,predicting segment boundaries,USED-FOR
approaches,predicting top-level topic shifts,USED-FOR
approaches,identifying subtopic boundaries,USED-FOR
predicting top-level topic shifts,identifying subtopic boundaries,FEATURE-OF
ASR output,human transcription,COMPARE
predicting subtopic boundaries,predicting top-level and predicting subtopic boundaries,PART-OF
lexical cohesion-based approach,predicting subtopic boundaries,USED-FOR
predicting top-level boundaries,predicting top-level and predicting subtopic boundaries,PART-OF
machine learning approach,predicting top-level boundaries,USED-FOR
lexical-cohesion and conversational features,machine learning approach,CONJUNCTION
cue phrases,conversational cues,HYPONYM-OF
overlapping speech,conversational cues,HYPONYM-OF
overlapping speech,cue phrases,CONJUNCTION
indicators,top-level prediction task,USED-FOR
transcription errors,ASR output,FEATURE-OF
models,lexical-cohesion and conversational features,CONJUNCTION
unsupervised technique,morphology,USED-FOR
hubs,unsupervised technique,USED-FOR
hubs,automaton,PART-OF
hub,node,HYPONYM-OF
node,graph,PART-OF
word-trie,hubs,USED-FOR
minimal DFA,hubs,USED-FOR
conjugate priors,Bayesian machine learning,PART-OF
Bregman divergence,conjugate prior,FEATURE-OF
geometric understanding of conjugate priors,hyperparameters,USED-FOR
prior,generative and discriminative components,USED-FOR
generative and discriminative components,hybrid model,PART-OF
hybrid model,semi-supervised learning,USED-FOR
PCFG-LA,generative probabilistic model of parse trees,HYPONYM-OF
PCFG,model,USED-FOR
non-terminal symbols,PCFG,PART-OF
latent variables,non-terminal symbols,USED-FOR
parsed corpus,Finegrained CFG rules,USED-FOR
EM-algorithm,PCFG-LA model,USED-FOR
PCFG-LA,exact parsing,USED-FOR
Penn WSJ corpus,model,EVALUATE-FOR
Penn WSJ corpus,unlexicalized PCFG parser,EVALUATE-FOR
model,unlexicalized PCFG parser,COMPARE
F1,model,EVALUATE-FOR
F1,unlexicalized PCFG parser,EVALUATE-FOR
manual feature selection,unlexicalized PCFG parser,USED-FOR
speech,speaker-independent -LRB- SI -RRB- training of hidden Markov models -LRB- HMM -RRB-,USED-FOR
averaging the statistics of independently trained models,pooling of all the speech data,COMPARE
word error rate,SI recognition,EVALUATE-FOR
DARPA Resource Management corpus,SI recognition,EVALUATE-FOR
SI corpus,speaker adaptation -LRB- SA -RRB-,EVALUATE-FOR
error rate,adaptation,EVALUATE-FOR
Dictionary construction,machine translation system,PART-OF
linguistic resources,dictionary,USED-FOR
English,Korean-to-Japanese dictionary,USED-FOR
automatic construction,directionality of dictionaries,EVALUATE-FOR
Korean-to-English and a Japanese-to-English dictionary,`` one-time look up '' method,USED-FOR
`` overlapping constraint '',method,USED-FOR
Korean-to-English dictionary,method,USED-FOR
Korean-to-English dictionary,English-to-Japanese dictionary,CONJUNCTION
English-to-Japanese dictionary,method,USED-FOR
method,dictionary,USED-FOR
English-to-Korean dictionary,dictionary,HYPONYM-OF
English-to-Korean dictionary,English-to-Japanese dictionary,CONJUNCTION
English-to-Japanese dictionary,dictionary,HYPONYM-OF
CFG filtering techniques,LTAG,USED-FOR
CFG filtering techniques,HPSG,USED-FOR
LTAG,HPSG,COMPARE
approximation of HPSG,CFG filter,USED-FOR
CFG filter,that,COMPARE
that,LTAG,USED-FOR
statistical models,Syntax-based statistical machine translation -LRB- MT -RRB-,USED-FOR
structured data,statistical models,USED-FOR
probabilistic synchronous dependency insertion grammar,syntax-based statistical machine translation system,USED-FOR
Synchronous dependency insertion grammars,synchronous grammars,HYPONYM-OF
dependency trees,Synchronous dependency insertion grammars,FEATURE-OF
approach,grammar,USED-FOR
parallel corpora,grammar,USED-FOR
graphical model,machine translation task,USED-FOR
stochastic tree-to-tree transducer,graphical model,USED-FOR
polynomial time decoding algorithm,model,USED-FOR
NIST and Bleu automatic MT evaluation software,MT system,USED-FOR
system,baseline system,COMPARE
IBM models,baseline system,USED-FOR
translation speed and quality,system,EVALUATE-FOR
translation speed and quality,baseline system,EVALUATE-FOR
distributional measures of word co-occurrences,framework,USED-FOR
concept-distance measures,tasks,USED-FOR
distributional word-distance measures,concept-distance measures,COMPARE
distributional word-distance measures,tasks,USED-FOR
ranking word pairs in order of semantic distance,tasks,HYPONYM-OF
correcting real-word spelling errors,tasks,HYPONYM-OF
correcting real-word spelling errors,ranking word pairs in order of semantic distance,CONJUNCTION
task,WordNet-based measures,EVALUATE-FOR
task,distributional concept-distance measures,EVALUATE-FOR
distributional concept-distance measures,WordNet-based measures,COMPARE
broad semantic classes,LCS meaning components,CONJUNCTION
acquisition program - LEXICALL -,LCS representations,USED-FOR
verb classification,acquisition program - LEXICALL -,USED-FOR
verb classification,thematic grid tagging,CONJUNCTION
thematic grid tagging,acquisition program - LEXICALL -,USED-FOR
representations,"English , Arabic and Spanish lexicons",USED-FOR
lexicons,operational foreign language tutoring,USED-FOR
lexicons,machine translation,USED-FOR
operational foreign language tutoring,machine translation,CONJUNCTION
range concatenation grammar -LSB- RCG -RSB- formalism,NLP,USED-FOR
polynomial time,range concatenation languages -LSB- RCL -RSB-,FEATURE-OF
worst-case parsing time complexity,grammatical formalisms,EVALUATE-FOR
O -LRB- n6 -RRB- time,tree adjoining grammar,FEATURE-OF
parsing technique,RCL parsers,USED-FOR
main parser,language L,USED-FOR
RCL parser,shared derivation forest,USED-FOR
wide coverage English grammar,method,EVALUATE-FOR
Ant-Q,symmetric and asym-metric instances of the traveling salesman problem -LRB- TSP -RRB-,USED-FOR
ant system -LRB- AS -RRB-,Ant-Q algorithms,USED-FOR
ant system -LRB- AS -RRB-,distributed algorithm,HYPONYM-OF
distributed algorithm,combinatorial optimization,USED-FOR
AS,Ant-Q family,HYPONYM-OF
instances,family,PART-OF
instances,AS,COMPARE
Ant-Q,symmetric TSP,USED-FOR
Ant-Q,heuristic approaches,COMPARE
